email,valid,result,reason,is_role,is_disposable,is_free,did_you_mean
florida_klocko@hotmail.com,True,neutral,,False,False,True,
lola_koelpin38@yahoo.com,True,neutral,,False,False,True,
lewis_hansen@yahoo.com,True,neutral,,False,False,True,
madisen20@yahoo.com,True,neutral,,False,False,True,
lamont57@yahoo.com,True,neutral,,False,False,True,
sadye.harris@gmail.com,True,neutral,,False,False,True,
joaquin_bergstrom@gmail.com,True,neutral,,False,False,True,
granville.yundt63@hotmail.com,True,neutral,,False,False,True,
alanna11@yahoo.com,True,neutral,,False,False,True,
karlee.carter@gmail.com,True,neutral,,False,False,True,
alayna.zieme@hotmail.com,True,neutral,,False,False,True,
junior_mertz35@hotmail.com,True,neutral,,False,False,True,
duncan.reilly3@hotmail.com,True,neutral,,False,False,True,
destin_nolan57@hotmail.com,True,neutral,,False,False,True,
delpha.gerlach90@yahoo.com,True,neutral,,False,False,True,
kelsi.spinka83@gmail.com,True,neutral,,False,False,True,
lennie45@gmail.com,True,risky,,False,False,True,
chauncey88@hotmail.com,True,neutral,,False,False,True,
karson_treutel@yahoo.com,True,neutral,,False,False,True,
chet79@gmail.com,True,neutral,,False,False,True,
ciara_heathcote@yahoo.com,True,neutral,,False,False,True,
federico_lockman@hotmail.com,True,neutral,,False,False,True,
frederique3@hotmail.com,True,neutral,,False,False,True,
katelynn.kuhlman23@yahoo.com,True,neutral,,False,False,True,
josiane_fay69@gmail.com,True,neutral,,False,False,True,
concepcion85@yahoo.com,False,undeliverable,Invalid Recipient,False,False,True,
jamil77@yahoo.com,True,neutral,,False,False,True,
heber_wehner@gmail.com,True,neutral,,False,False,True,
judd_waelchi43@yahoo.com,True,neutral,,False,False,True,
watson24@gmail.com,True,valid,,False,False,True,
una.king5@gmail.com,True,neutral,,False,False,True,
jimmie12@gmail.com,True,risky,,False,False,True,
rocio_haley@yahoo.com,True,neutral,,False,False,True,
adolphus_reilly20@hotmail.com,True,neutral,,False,False,True,
princess.rohan@yahoo.com,True,neutral,,False,False,True,
liliana.dooley@gmail.com,True,neutral,,False,False,True,
ibrahim89@yahoo.com,True,neutral,,False,False,True,
alexandra_upton43@gmail.com,True,neutral,,False,False,True,
orrin.heidenreich56@gmail.com,True,neutral,,False,False,True,
marc_mcclure62@gmail.com,True,neutral,,False,False,True,
jovan71@hotmail.com,True,risky,,False,False,True,
